pH min,pH max,nitrogen min,nitrogen max,phosphorus min,phosphorus max,potasium min,potasium max,calcium min,calcium max,magnesium min,magnesium max,sulphur min,sulphur max,iron min,iron max,zinc min,zinc max,manganese min,manganese max,copper min,copper max,boron min,boron max,temperature min,temperature max,precipitation min,precipitation max,class,crop
5.5,8.075,80,84,40,40,38,40,20,20,17,17,21,21,2.5,2.5,0.2205,0.21,0.17,0.1615,0.3,0.3,0,0,25,32,40,40,1,Jowar
4.7,7.5,30,50,2,7,12,30,3,10.5,1,5,1,3,1.2,1.5,0.03,0.042,0.2,0.5,0.02,0.02,0,0,14.25,20,25,71.25,3,Pulses
5.5,7.875,50,157.5,18,90,30,385,20,210,13,70,5,7.6,0.29,7.75,0.294,0.75,0.0855,0.42,0.03,0.06,0,0,25,36.75,20,20,4,Oil Crop
4.7,7.5,30,50,2,7,12,30,2.9925,9.5,1,5,1,2.85,1.2,1.5,0.03,0.04,0.2,0.5,0.02,0.02,0,0,15,21,25,71.25,3,Pulses
5.5,7.5,50,157.5,18,90,30,385,20,210,13,70,5,7.98,0.29,7.3625,0.294,0.7125,0.09,0.42,0.03,0.06,0,0,25,35,20,20,4,Oil Crop
6.5,7.8,128,128,46,43.7,219,208.05,27,27,19,19,22,20.9,1.9845,1.71,0.5,0.5,0.5,0.5,0.15,0.15,0,0,22,25,62,87,0,wheat
6.5,7.125,191,191,89,89,235,235,57,57,76.65,73,22.05,21,0.1235,0.13,0.38,0.38,0.323,0.34,0.11,0.1045,0,0,18,27,60,100,2,Maize
6,8,200,200,53,53,280,280,42,39.9,50,50,30,30,3.4,3.4,0.361,0.4,1.2,1.14,0.6,0.63,0.2,0.2,20,27.3,100,175,5,sugercane
5.5,6.5,110,150,20,31.5,80,120,300,1000,40,100,0,0,45,45,4.5,4.5,5.25,5,5,26.25,1,3,26.25,35,50,59.85,6,grapes
5.775,8.5,80,80,36.1,40,40,42,20,20,17,17,21,21,2.5,2.5,0.1995,0.21,0.17,0.17,0.3,0.3,0,0,26.25,32,40,40,1,Jowar
